award_year,category,share,prize_amount,prize_amount_adjusted,date_awarded,laureate_id,name,gender,birth_date,birth_continent,birth_country,death_date,type
2013,Chemistry,1/3,8000000,8365867,2013-10-09,890,Michael Levitt,male,1947-05-09,Africa,South Africa,not dead or organization,Individual
2017,Physiology or Medicine,1/3,9000000,9176183,not specified,939,Michael Rosbash,male,1944-03-07,North America,USA,not dead or organization,Individual
1985,Physiology or Medicine,1/2,1800000,3843964,not specified,432,Michael S. Brown,male,1941-04-13,North America,USA,not dead or organization,Individual
1993,Chemistry,1/2,6700000,9044276,1993-10-13,279,Michael Smith,male,1932-04-26,Europe,United Kingdom,2000-10-04,Individual
2017,Physiology or Medicine,1/3,9000000,9176183,not specified,940,Michael W. Young,male,1949-03-28,North America,USA,not dead or organization,Individual
2019,Physics,1/4,9000000,9000000,2019-10-08,974,Michel Mayor,male,1942-01-12,Europe,Switzerland,not dead or organization,Individual
1967,Literature,1,320000,2843602,not specified,641,Miguel Angel Asturias,male,1899-10-19,North America,Guatemala,1974-06-09,Individual
1990,Peace,1,4000000,6329114,1990-10-15,552,Mikhail Gorbachev,male,1931-03-02,Europe,USSR,not dead or organization,Individual
1965,Literature,1,282000,2782895,not specified,638,Mikhail Sholokhov,male,1905-05-24,Europe,Russia,1984-02-21,Individual
1976,Economic Sciences,1,681000,3342605,1976-10-14,688,Milton Friedman,male,1912-07-31,North America,USA,2006-11-16,Individual
2012,Literature,1,8000000,8361204,2012-10-11,880,Mo Yan,male,1955-02-02,Asia,China,not dead or organization,Individual
2005,Peace,1/2,10000000,11711430,2005-10-07,798,Mohamed ElBaradei,male,1942-06-17,Africa,Egypt,not dead or organization,Individual
1979,Peace,1,800000,2988048,1979-10-27,540,Mother Teresa ,female,1910-08-26,Europe,Ottoman Empire,1997-09-05,Individual
2006,Peace,1/2,10000000,11552680,2006-10-13,809,Muhammad Yunus,male,1940-06-28,Asia,British India,not dead or organization,Individual
1969,Physics,1,375000,3181561,not specified,90,Murray Gell-Mann,male,1929-09-15,North America,USA,2019-05-24,Individual
1997,Economic Sciences,1/2,7500000,9572839,1997-10-14,718,Myron Scholes,male,1941-07-01,North America,Canada,not dead or organization,Individual
2018,Peace,1/2,9000000,9000000,2018-10-05,967,Nadia Murad,female,1993-00-00,Asia,Iraq,not dead or organization,Individual
1991,Literature,1,6000000,8673863,not specified,668,Nadine Gordimer,female,1923-11-20,Africa,South Africa,2014-07-13,Individual
1988,Literature,1,2500000,4645689,not specified,665,Naguib Mahfouz,male,1911-12-11,Africa,Egypt,2006-08-30,Individual
1938,Peace,1,155077,4543271,1938-11-17,503,Nansen International Office for Refugees,organization,1921-00-00,Europe,Switzerland,not dead or organization,Organization
1930,Peace,1,172947,5066807,1930-12-10,495,Nathan Söderblom,male,1866-01-15,Europe,Sweden,1931-07-12,Individual
2015,Peace,1,8000000,8384572,2015-10-09,925,National Dialogue Quartet ,organization,not specified,not specified,not specified,not dead or organization,Organization
1966,Literature,1/2,300000,2784653,not specified,640,Nelly Sachs,female,1891-12-10,Europe,Germany,1970-05-12,Individual
1993,Peace,1/2,6700000,9044276,1993-10-15,555,Nelson Mandela,male,1918-07-18,Africa,South Africa,2013-12-05,Individual
1931,Peace,1/2,173206,5238085,1931-12-10,497,Nicholas Murray Butler,male,1862-04-02,North America,USA,1947-12-07,Individual
1981,Physics,1/4,1000000,2929688,1981-10-19,118,Nicolaas Bloembergen,male,1920-03-11,Europe,the Netherlands,2017-09-05,Individual
1964,Physics,1/4,273000,2828039,not specified,82,Nicolay G. Basov,male,1922-12-14,Europe,USSR,2001-07-01,Individual
1922,Physics,1,122483,3145967,not specified,27,Niels Bohr,male,1885-10-07,Europe,Denmark,1962-11-18,Individual
1984,Physiology or Medicine,1/3,1650000,3782090,not specified,429,Niels K. Jerne,male,1911-12-23,Europe,United Kingdom,1994-10-07,Individual
1903,Physiology or Medicine,1,141358,7795478,not specified,295,Niels Ryberg Finsen,male,1860-12-15,Europe,Faroe Islands (Denmark),1904-09-24,Individual
1973,Physiology or Medicine,1/3,510000,3331882,not specified,402,Nikolaas Tinbergen,male,1907-04-15,Europe,the Netherlands,1988-12-21,Individual
1956,Chemistry,1/2,200123,2699501,not specified,220,Nikolay Semenov,male,1896-04-03,Europe,Russia,1986-09-25,Individual
1970,Peace,1,400000,3177966,1970-10-21,528,Norman Borlaug,male,1914-03-25,North America,USA,2009-09-12,Individual
1989,Physics,1/2,3000000,5242311,1989-10-12,135,Norman F. Ramsey,male,1915-08-27,North America,USA,2011-11-04,Individual
1937,Chemistry,1/2,158463,4716161,not specified,196,Norman Haworth,male,1883-03-19,Europe,United Kingdom,1950-03-19,Individual
1990,Literature,1,4000000,6329114,not specified,667,Octavio Paz,male,1914-03-31,North America,Mexico,1998-04-19,Individual
1969,Chemistry,1/2,375000,3181561,not specified,238,Odd Hassel,male,1897-05-17,Europe,Norway,1981-05-11,Individual
1979,Literature,1,800000,2988048,not specified,655,Odysseus Elytis,male,1911-11-02,Europe,Crete,1996-03-18,Individual
1954,Peace,1,181647,2640218,1955-11-05,515,Office of the United Nations High Commissioner for Refugees,organization,1951-00-00,Europe,Switzerland,not dead or organization,Organization
2018,Literature,1,9000000,9000000,2019-10-10,979,Olga Tokarczuk,female,1962-01-29,Europe,Poland,not dead or organization,Individual
2009,Economic Sciences,1/2,10000000,10958504,2009-10-12,847,Oliver E. Williamson,male,1932-09-27,North America,USA,not dead or organization,Individual
2016,Economic Sciences,1/2,8000000,8301051,2016-10-10,935,Oliver Hart,male,1948-10-09,Europe,United Kingdom,not dead or organization,Individual
2007,Physiology or Medicine,1/3,10000000,11301989,2007-10-08,813,Oliver Smithies,male,1925-06-23,Europe,United Kingdom,2017-01-10,Individual
2013,Peace,1,8000000,8365867,2013-10-11,893,Organisation for the Prohibition of Chemical Weapons,organization,1997-00-00,not specified,not specified,not dead or organization,Organization
2006,Literature,1,10000000,11552680,2006-10-12,808,Orhan Pamuk,male,1952-06-07,Asia,Turkey,not dead or organization,Individual
2008,Chemistry,1/3,10000000,10926573,2008-10-08,829,Osamu Shimomura,male,1928-08-27,Asia,Japan,2018-10-19,Individual
1987,Peace,1,2175000,4274764,1987-10-13,549,Oscar Arias Sánchez,male,1940-09-13,North America,Costa Rica,not dead or organization,Individual
1950,Chemistry,1/2,164304,3050198,not specified,210,Otto Diels,male,1876-01-23,Europe,Germany,1954-03-07,Individual
1944,Chemistry,1,121841,2510460,not specified,202,Otto Hahn,male,1879-03-08,Europe,Germany,1968-07-28,Individual
1936,Physiology or Medicine,1/2,159850,4913422,not specified,331,Otto Loewi,male,1873-06-03,Europe,Germany,1961-12-25,Individual
1922,Physiology or Medicine,1/2,122483,3145967,not specified,312,Otto Meyerhof,male,1884-04-12,Europe,Germany,1951-10-06,Individual
1943,Physics,1,123691,2520876,not specified,48,Otto Stern,male,1888-02-17,Europe,Germany,1969-08-17,Individual
1910,Chemistry,1,140703,7130220,not specified,169,Otto Wallach,male,1847-03-27,Europe,Germany,1931-02-26,Individual
